"Crawl Overview Report by the Screaming Frog SEO Spider (10.2)"
"Site Crawled","https://www.volvocars.com/pl"
"Date","piątek, paź 12, 2018"
"Time","09:22:01 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"XML Sitemap Over 50MB","0","0,00%","893","Internal HTML/XML pages"
""
"Custom"
"Filter 1","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 2","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 3","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 4","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 5","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 6","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 7","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 8","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 9","0","0,00%","774","Internal HTML pages with 2xx response"
"Filter 10","0","0,00%","774","Internal HTML pages with 2xx response"
"Extraction","0","0,00%","774","Internal HTML pages with 2xx response"
""
"Analytics"
"All","875","100,00%","875","Internal URI with associated Google Analytics data"
"Sessions Above 0","0","0,00%","875","Internal URI with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","875","Internal URI with associated Google Analytics data"
"No GA Data","0","0,00%","875","Internal URI with associated Google Analytics data"
"Non-Indexable with GA Data","0","0,00%","875","Internal URI with associated Google Analytics data"
"Orphan URLs","0","0,00%","875","Internal URI with associated Google Analytics data"
""
"Search Console"
"All","875","100,00%","875","Internal URI with associated Google Search Console data"
"Clicks Above 0","0","0,00%","875","Internal URI with associated Google Search Console data"
"No GSC Data","0","0,00%","875","Internal URI with associated Google Search Console data"
"Non-Indexable with GSC Data","0","0,00%","875","Internal URI with associated Google Search Console data"
"Orphan URLs","0","0,00%","875","Internal URI with associated Google Search Console data"
""
"Link Metrics"
"All","889","100,00%","889","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","1","0,13%","774","Internal HTML pages with 2xx response"
"1","64","8,27%","774","Internal HTML pages with 2xx response"
"2","295","38,11%","774","Internal HTML pages with 2xx response"
"3","221","28,55%","774","Internal HTML pages with 2xx response"
"4","169","21,83%","774","Internal HTML pages with 2xx response"
"5","21","2,71%","774","Internal HTML pages with 2xx response"
"6","3","0,39%","774","Internal HTML pages with 2xx response"
"7","0","0,00%","774","Internal HTML pages with 2xx response"
"8","0","0,00%","774","Internal HTML pages with 2xx response"
"9","0","0,00%","774","Internal HTML pages with 2xx response"
"10+","0","0,00%","774","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URI)"
"https://www.volvocars.com/pl/konfigurator","763","98,58%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/konfigurator/kombi/v60","754","97,42%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/o-nas/nasze-innowacje/drive-e","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/uslugi/eksploatacja/foteliki-dzieciece","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/uslugi/eksploatacja/volvo-personal-service","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/sprzedaz/finansowanie/easy-lease","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/uslugi/eksploatacja/elv","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/footer/polityka-prywatnosci","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/modele/wybierz-swoje-volvo","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/o-nas/nasza-firma/oto-volvo-cars","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/uslugi/o-volvo/assistance","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/footer/polityka-cookies","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/o-nas/nasze-innowacje/intellisafe","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/care-by-volvo","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/modele/nowe-modele/s60","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/support","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/modele/volvo-selekt","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/modele/nowe-modele/s90","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/uslugi/o-volvo/pakiety-gwarancyjne","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.volvocars.com/pl/modele/nowe-modele/v60-classic","751","97,03%","774","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URI","% of Total"
"1","625","69.91"
"2","180","20.13"
"3","55","6.15"
"4","15","1.68"
"5","6","0.67"
"6","6","0.67"
"7","3","0.34"
"8","1","0.11"
"9","1","0.11"
"10","1","0.11"
"11","1","0.11"
